58:0.5, B4, A-4, G3, NaN
58:1.0, G4, F4, G4, NaN
58:1.5, G4, F4, Rest, NaN
58:2.0, B4, D4, Rest, NaN
58:2.5, B4, D4, NaN, NaN
59:0.0, C5, B3, Rest, Rest
59:0.5, C5, B3, NaN, NaN
59:1.0, D5, C4, NaN, NaN
59:1.5, D5, E5, NaN, NaN
59:2.0, E5, NaN, NaN, NaN
59:2.5, E5, E-5, NaN, NaN
60:0.0, G5, E-5, Rest, Rest
60:1.0, F5, NaN, Rest, NaN
60:2.0, Rest, F5, G3, NaN
60:2.5, NaN, NaN, G3, NaN
60:2.75, NaN, D5, NaN, NaN
61:0.0, Rest, C5, NaN, Rest
61:0.5, NaN, G3, G4, NaN
61:1.0, NaN, G3, F4, NaN
61:1.5, NaN, G3, F4, NaN
61:2.0, NaN, G3, E4, NaN
61:2.5, NaN, G3, E4, NaN
62:0.0, Rest, G3, D4, Rest
62:0.5, NaN, G3, NaN, NaN
62:1.0, Rest, G3, NaN, NaN
62:1.5, NaN, G3, Rest, NaN
62:2.0, G#5, G3, Rest, NaN
62:2.5, NaN, G3, NaN, NaN
63:0.0, A5, A3, Rest, Rest
63:1.0, C6, F4, A-4, NaN
63:1.5, NaN, NaN, A-4, NaN
63:2.0, F#5, Rest, F4, NaN
63:2.5, NaN, NaN, F4, NaN
64:0.0, A5, Rest, D4, Rest
64:0.5, NaN, NaN, D4, NaN
64:1.0, G5, NaN, E-4, Rest
64:1.5, Rest, NaN, C4, F#3
64:2.0, Rest, NaN, F#3, G3
64:2.5, NaN, NaN, F#3, G#3
65:0.0, Rest, Rest, G3, A3
65:0.5, NaN, NaN, G3, A3
65:1.0, NaN, Rest, G4, F3
65:1.5, NaN, NaN, G4, F3
65:2.0, NaN, Rest, G3, D3
65:2.25, NaN, A3, NaN, NaN
65:2.5, NaN, B3, G3, D3
65:2.75, NaN, C#4, NaN, NaN
66:0.0, Rest, D4, C4, B2
66:0.25, NaN, E4, NaN, NaN
66:0.5, NaN, F4, C3, B2
66:0.75, NaN, G4, NaN, NaN
66:1.0, Rest, A4, C3, G2
66:1.25, NaN, G4, NaN, NaN
66:1.5, NaN, F4, C3, G2
66:1.75, NaN, E4, NaN, NaN
66:2.0, F5, D4, C3, B2
66:2.25, NaN, C4, NaN, NaN
66:2.5, F5, A3, C3, B2
66:2.75, NaN, B3, NaN, NaN
67:0.0, E5, G3, C3, C3
67:0.5, E5, NaN, C3, C3
67:1.0, D5, NaN, C3, D3
67:1.5, D5, A3, C3, D3
67:1.75, NaN, B3, NaN, NaN
67:2.0, C5, C4, C3, E3
67:2.25, NaN, D4, NaN, NaN
67:2.5, C5, E4, C3, E3
67:2.75, NaN, F#4, NaN, NaN
68:0.0, C5, G4, F3, F3
68:0.5, NaN, B4, NaN, NaN
68:1.0, B4, B4, D4, NaN
68:1.5, Rest, B4, NaN, Rest
68:2.0, Rest, B4, Rest, Rest
68:2.5, NaN, B4, NaN, NaN
69:0.0, Rest, C5, Rest, Rest
69:1.0, Rest, G3, NaN, NaN
69:2.0, A-5, NaN, NaN, NaN
69:2.5, NaN, G3, NaN, NaN
70:0.0, NaN, G3, Rest, Rest
70:0.5, NaN, D4, NaN, NaN
70:1.0, G5, D4, Rest, NaN
70:1.5, NaN, C4, NaN, NaN
70:2.0, C6, C4, Rest, NaN
70:2.25, NaN, NaN, A3, NaN
70:2.5, NaN, C4, B3, NaN
70:2.75, NaN, NaN, C#4, NaN
71:0.0, C6, C4, D4, Rest
71:0.25, NaN, NaN, E4, NaN
71:0.5, NaN, C4, F4, NaN
71:0.75, NaN, NaN, G4, NaN
71:1.0, NaN, C4, A4, NaN
71:1.25, NaN, NaN, G4, NaN
71:1.5, NaN, G4, F4, NaN
71:1.75, NaN, NaN, E4, NaN
71:2.0, D6, G4, D4, NaN
71:2.25, NaN, NaN, C4, NaN
71:2.5, NaN, F4, B3, NaN
71:2.75, B5, NaN, A3, NaN
72:0.0, C6, F4, G3, G5
72:0.5, NaN, D4, NaN, NaN
72:1.0, Rest, D4, NaN, NaN
72:1.5, NaN, NaN, A3, A5
72:1.75, NaN, NaN, B3, G5
72:2.0, Rest, Rest, C4, F#5
72:2.25, NaN, NaN, D4, NaN
72:2.5, NaN, NaN, E4, G5
72:2.75, NaN, NaN, F#4, NaN
73:0.0, E5, Rest, G4, G5
73:0.003906000000000631, NaN, C5, NaN, NaN
73:0.5, NaN, NaN, F4, NaN
73:1.0, NaN, NaN, F4, NaN
73:1.5, F5, NaN, F4, NaN
73:1.75, E5, NaN, NaN, NaN
73:2.0, D5, NaN, F4, NaN
73:2.5, C5, NaN, F4, NaN
74:0.0, B4, NaN, E4, G5
74:0.003906000000000631, NaN, C5, NaN, NaN
74:1.0, Rest, NaN, E3, NaN
74:1.5, NaN, NaN, NaN, A5
74:1.75, NaN, NaN, NaN, G5
74:2.0, Rest, NaN, NaN, F#5
74:2.5, NaN, NaN, D3, G5
75:0.0, F5, NaN, D3, G5
75:0.5, NaN, NaN, B3, NaN
