69:0.0, Rest, A-4, Rest, Rest
69:0.5, NaN, A-4, NaN, NaN
69:1.0, Rest, F4, A-4, NaN
69:1.5, NaN, F4, A-4, NaN
69:2.0, A-5, D4, F4, NaN
69:2.5, NaN, D4, F4, NaN
70:0.0, NaN, B3, D4, Rest
70:0.5, NaN, B3, D4, NaN
70:1.0, G5, C4, E-4, NaN
70:1.5, NaN, E-5, C4, NaN
70:2.0, C6, NaN, F#3, NaN
70:2.5, NaN, E-5, F#3, NaN
71:0.0, C6, E-5, G3, Rest
71:0.5, NaN, NaN, G3, NaN
71:1.0, NaN, NaN, G4, NaN
71:1.5, NaN, NaN, G4, NaN
71:2.0, D6, F5, G3, NaN
71:2.5, NaN, NaN, G3, NaN
71:2.75, B5, D5, NaN, NaN
72:0.0, C6, C5, C4, G4
72:0.5, NaN, G3, C3, NaN
72:1.0, Rest, G3, C3, NaN
72:1.5, NaN, G3, C3, A4
72:1.75, NaN, NaN, NaN, G4
72:2.0, Rest, G3, C3, F#4
72:2.5, NaN, G3, C3, G4
73:0.0, E5, G3, C3, G4
73:0.5, NaN, G3, C3, NaN
73:1.0, NaN, G3, C3, NaN
73:1.5, F5, G3, C3, NaN
73:1.75, E5, NaN, NaN, NaN
73:2.0, D5, G3, C3, NaN
73:2.5, C5, G3, C3, NaN
74:0.0, B4, G3, D3, G4
74:0.5, NaN, G3, D3, NaN
74:1.0, Rest, G3, D3, NaN
74:1.5, NaN, G3, D3, A4
74:1.75, NaN, NaN, NaN, G4
74:2.0, Rest, G3, D3, F#4
74:2.5, NaN, G3, D3, G4
75:0.0, F5, B3, D3, G4
75:0.5, NaN, B3, D3, NaN
75:1.0, NaN, B3, D3, NaN
75:1.5, G5, B3, D3, NaN
75:1.75, F5, NaN, NaN, NaN
75:2.0, E5, B3, D3, NaN
75:2.5, D5, B3, D3, NaN
76:0.0, C#5, B-3, E3, G4
76:0.5, NaN, B-3, E3, NaN
76:1.0, Rest, B-3, E3, NaN
76:1.5, NaN, B-3, E3, A4
76:1.75, NaN, NaN, NaN, G4
76:2.0, Rest, B-3, E3, F#4
76:2.5, NaN, B-3, E3, G4
77:0.0, B-5, G3, E3, B-4
77:0.5, NaN, G3, E3, NaN
77:1.0, NaN, G3, E3, NaN
77:1.5, A5, G3, E3, NaN
77:1.75, G5, NaN, NaN, NaN
77:2.0, F5, G3, E3, NaN
77:2.25, E5, NaN, NaN, NaN
77:2.5, D5, G3, E3, NaN
77:2.75, C#5, NaN, NaN, NaN
78:0.0, D5, A3, F3, A4
78:0.25, A4, NaN, NaN, NaN
78:0.5, B4, NaN, NaN, NaN
78:0.75, C#5, NaN, NaN, NaN
78:1.0, D5, F4, D4, F3
78:1.25, E5, NaN, NaN, NaN
78:1.5, F5, NaN, NaN, NaN
78:1.75, E5, NaN, NaN, NaN
78:2.0, D5, Rest, Rest, Rest
78:2.25, A4, NaN, NaN, NaN
78:2.5, B4, NaN, NaN, NaN
78:2.75, C#5, NaN, NaN, NaN
79:0.0, D5, Rest, Rest, Rest
79:0.25, E5, NaN, NaN, NaN
79:0.5, F5, NaN, NaN, NaN
79:0.75, E5, NaN, NaN, NaN
79:1.0, D5, NaN, NaN, NaN
79:1.25, A4, NaN, NaN, NaN
79:1.5, B4, NaN, NaN, NaN
79:1.75, C#5, NaN, NaN, NaN
79:2.0, D5, NaN, NaN, NaN
79:2.25, E5, NaN, NaN, NaN
79:2.5, F5, NaN, NaN, NaN
79:2.75, E5, NaN, NaN, NaN
80:0.0, D5, Rest, Rest, Rest
80:0.25, A4, NaN, NaN, NaN
80:0.5, B4, NaN, NaN, NaN
80:0.75, C#5, NaN, NaN, NaN
80:1.0, D5, Rest, Rest, Rest
80:1.25, E5, NaN, NaN, NaN
80:1.5, F5, NaN, NaN, NaN
80:1.75, E5, NaN, NaN, NaN
80:2.0, D5, Rest, Rest, Rest
80:2.25, A4, A3, A3, A2
80:2.5, B4, B3, B3, B2
80:2.75, C#5, C#4, C#4, C#3
81:0.0, D5, D4, D4, D3
81:0.25, E5, E4, E4, E3
81:0.5, F5, F4, F4, F3
81:0.75, G5, G4, G4, G3
81:1.0, A5, A4, A4, A3
81:1.25, G5, G4, G4, G3
81:1.5, F5, F4, F4, F3
81:1.75, E5, E4, E4, E3
81:2.0, D5, D4, D4, D3
81:2.25, C5, C4, C4, C3
81:2.5, B4, B3, B3, B2
81:2.75, A4, A3, A3, A2
82:0.0, G4, G3, G3, G2
82:1.5, NaN, A3, A3, A2
82:1.75, NaN, B3, B3, B2
82:2.0, NaN, C4, C4, C3
82:2.25, NaN, D4, D4, D3
82:2.5, NaN, E4, E4, E3
82:2.75, NaN, F#4, F#4, F#3
83:0.0, D5, G4, G4, G3
83:0.5, NaN, B4, F4, G3
83:1.0, NaN, B4, F4, G3
83:1.5, NaN, B4, F4, G3
83:2.0, NaN, B4, F4, G3
83:2.5, NaN, B4, F4, G3
84:0.0, C5, C5, E4, C3
84:1.0, C4, G3, E3, Rest
84:2.0, NaN, NaN, NaN, Rest
84:2.5, B3, G3, D3, NaN
85:0.0, B3, G3, D3, Rest
85:0.5, F4, D4, B3, NaN
85:1.0, F4, D4, B3, NaN
85:1.5, E4, C4, C4, NaN
85:2.0, E4, C4, C4, NaN
85:2.5, A4, C4, F3, NaN
86:0.0, A4, C4, F3, Rest
86:0.5, G4, C4, E3, NaN
86:1.0, G4, C4, E3, NaN
86:1.5, C5, G4, E4, NaN
86:2.0, C5, G4, E4, NaN
86:2.5, B4, F4, D4, NaN
87:0.0, B4, F4, D4, Rest
87:0.5, F5, D4, B3, NaN
87:1.0, F5, D4, B3, NaN
87:2.0, Rest, Rest, Rest, NaN
88:0.0, Rest, Rest, Rest, Rest
88:0.0039059999999722095, E5, C5, G4, C4
88:1.5039059999999722, F5, NaN, NaN, NaN
88:1.7539059999999722, E5, NaN, NaN, NaN
88:2.003905999999972, D5, NaN, NaN, NaN
88:2.503905999999972, E5, NaN, NaN, NaN
89:0.0039059999999722095, A5, C5, D4, F#3
90:1.0039059999999722, G5, C5, E4, G3
90:2.003905999999972, B4, F4, D4, G2
91:0.0039059999999722095, C5, E4, C4, C3
91:1.0039059999999722, C5, G4, E4, Rest
91:2.003905999999972, NaN, NaN, NaN, Rest
91:2.503905999999972, B4, F4, D4, NaN
92:0.0039059999999722095, B4, F4, D4, Rest
92:0.5039059999999722, F5, D4, B3, NaN
92:1.0039059999999722, F5, D4, B3, NaN
92:1.5039059999999722, E5, E4, C4, NaN
92:2.003905999999972, E5, E4, C4, NaN
92:2.503905999999972, A5, C5, F4, NaN
93:0.0039059999999722095, A5, C5, F4, Rest
93:0.5039059999999722, G5, C5, E4, NaN
93:1.0039059999999722, G5, C5, E4, NaN
93:1.5039059999999722, C6, G5, E5, NaN
93:2.003905999999972, C6, G5, E5, NaN
93:2.503905999999972, B5, F5, D5, NaN
94:0.0039059999999722095, B5, F5, D5, Rest
94:0.5039059999999722, F6, D5, B4, NaN
94:1.0039059999999722, F6, D5, B4, NaN
94:2.003905999999972, Rest, Rest, Rest, NaN
95:0.0039059999999722095, Rest, Rest, Rest, Rest
95:0.007812000000001262, C4, G3, C4, C3
96:0.007812000000001262, C4, A-3, A-3, A-2
97:0.007812000000001262, C4, A3, F#3, F#2
97:2.0078120000000013, C4, A3, F3, F2
98:0.007812000000001262, C4, A3, E3, E2
98:1.0078120000000013, F4, D4, A3, D2
98:2.0078120000000013, D4, B3, F3, G2
99:0.007812000000001262, C4, C4, E3, C3
99:0.5078120000000013, NaN, G3, C4, NaN
99:1.0078120000000013, Rest, G3, C4, NaN
99:1.5078120000000013, NaN, G3, C4, D3
99:1.7578120000000013, NaN, NaN, NaN, C3
99:2.0078120000000013, Rest, G3, C4, B2
99:2.5078120000000013, NaN, G3, C4, C3
100:0.007812000000001262, Rest, G3, C4, C2
100:0.5078120000000013, NaN, G3, C4, NaN
100:1.0078120000000013, E5, G3, C4, Rest
100:1.5078120000000013, NaN, G3, C4, NaN
100:2.0078120000000013, E5, G3, C4, Rest
100:2.5078120000000013, NaN, G3, C4, NaN
101:0.007812000000001262, G5, G3, D4, C3
101:0.5078120000000013, NaN, G3, D4, NaN
101:1.0078120000000013, F5, G3, D4, NaN
101:1.5078120000000013, NaN, G3, D4, D3
101:1.7578120000000013, NaN, NaN, NaN, C3
101:2.0078120000000013, Rest, G3, D4, B2
101:2.5078120000000013, NaN, G3, D4, C3
102:0.007812000000001262, Rest, G3, D4, C2
102:0.5078120000000013, NaN, G3, D4, NaN
102:1.0078120000000013, B5, G3, D4, Rest
102:1.5078120000000013, NaN, G3, D4, NaN
102:2.0078120000000013, B5, G3, D4, Rest
102:2.5078120000000013, NaN, G3, D4, NaN
103:0.007812000000001262, C6, G3, C4, D3
103:0.25781200000000126, NaN, NaN, NaN, C3
103:0.5078120000000013, E6, G3, C4, B2
